Age,Age_Group,Attrition,Attrition_Flag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Income_Group,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,Experience_Group,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group2,Income Band,Tenure Group,Promotion Status,Experience Group
31,Mid-Career,Yes,1,Travel_Frequently,307,Research & Development,29,2,Medical,1,355,3,Male,71,2,1,Laboratory Technician,2,Single,3479,Low,11652,0,Y,No,11,3,2,80,0,6,Junior Level,2,4,5,4,1,4,25-34,$3k-$6k,4-5 yrs,1-2 yrs since promotion,6-10 yrs
32,Mid-Career,No,0,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,1,359,2,Male,100,4,1,Laboratory Technician,2,Married,2794,Low,26062,1,Y,No,20,4,3,80,0,5,Entry Level,3,1,5,1,0,3,25-34,< $3k,4-5 yrs,Promoted this year,3-5 yrs
38,Mid-Career,No,0,Non-Travel,1327,Sales,2,2,Life Sciences,1,361,4,Male,39,2,2,Sales Executive,4,Married,5249,Low,19682,3,Y,No,18,3,4,80,1,13,Mid Level,0,3,8,7,7,5,35-44,$3k-$6k,6-10 yrs,5+ yrs since promotion,11-20 yrs
32,Mid-Career,No,0,Travel_Rarely,128,Research & Development,2,1,Technical Degree,1,362,4,Male,84,2,2,Laboratory Technician,1,Single,2176,Low,19737,4,Y,No,13,3,4,80,0,9,Junior Level,5,3,6,2,0,4,25-34,< $3k,6-10 yrs,Promoted this year,6-10 yrs
46,Senior,No,0,Travel_Rarely,488,Sales,2,3,Technical Degree,1,363,3,Female,75,1,4,Manager,2,Married,16872,High,14977,3,Y,Yes,12,3,2,80,1,28,Senior Level,2,2,7,7,7,7,45-54,$15k+,6-10 yrs,5+ yrs since promotion,20+ yrs
28,Young,Yes,1,Travel_Rarely,529,Research & Development,2,4,Life Sciences,1,364,1,Male,79,3,1,Laboratory Technician,3,Single,3485,Low,14935,2,Y,No,11,3,3,80,0,5,Entry Level,5,1,0,0,0,0,25-34,$3k-$6k,0-1 yrs,Promoted this year,3-5 yrs
29,Young,No,0,Travel_Rarely,1210,Sales,2,3,Medical,1,366,1,Male,78,2,2,Sales Executive,2,Married,6644,Low,3687,2,Y,No,19,3,2,80,2,10,Junior Level,2,3,0,0,0,0,25-34,$6k-$10k,0-1 yrs,Promoted this year,6-10 yrs
31,Mid-Career,No,0,Travel_Rarely,1463,Research & Development,23,3,Medical,1,367,2,Male,64,2,2,Healthcare Representative,4,Married,5582,Low,14408,0,Y,No,21,4,2,80,1,10,Junior Level,2,3,9,0,7,8,25-34,$3k-$6k,6-10 yrs,5+ yrs since promotion,6-10 yrs
25,Young,No,0,Non-Travel,675,Research & Development,5,2,Life Sciences,1,369,2,Male,85,4,2,Healthcare Representative,1,Divorced,4000,Low,18384,1,Y,No,12,3,4,80,2,6,Junior Level,2,3,6,3,1,5,25-34,$3k-$6k,6-10 yrs,1-2 yrs since promotion,6-10 yrs
45,Senior,No,0,Travel_Rarely,1385,Research & Development,20,2,Medical,1,372,3,Male,79,3,4,Healthcare Representative,4,Married,13496,Medium,7501,0,Y,Yes,14,3,2,80,0,21,Senior Level,2,3,20,7,4,10,45-54,$10k-$15k,10+ yrs,3-5 yrs since promotion,20+ yrs
36,Mid-Career,No,0,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,1,373,4,Male,47,3,1,Laboratory Technician,4,Married,3210,Low,20251,0,Y,No,11,3,3,80,1,16,Mid Level,4,3,15,13,10,11,35-44,$3k-$6k,10+ yrs,5+ yrs since promotion,11-20 yrs
55,Senior,No,0,Travel_Rarely,452,Research & Development,1,3,Medical,1,374,4,Male,81,3,5,Manager,1,Single,19045,High,18938,0,Y,Yes,14,3,3,80,0,37,Senior Level,2,3,36,10,4,13,55+,$15k+,10+ yrs,3-5 yrs since promotion,20+ yrs
47,Senior,Yes,1,Non-Travel,666,Research & Development,29,4,Life Sciences,1,376,1,Male,88,3,3,Manager,2,Married,11849,Medium,10268,1,Y,Yes,12,3,4,80,1,10,Junior Level,2,2,10,7,9,9,45-54,$10k-$15k,6-10 yrs,5+ yrs since promotion,6-10 yrs
28,Young,No,0,Travel_Rarely,1158,Research & Development,9,3,Medical,1,377,4,Male,94,3,1,Research Scientist,4,Married,2070,Low,2613,1,Y,No,23,4,4,80,1,5,Entry Level,3,2,5,2,0,4,25-34,< $3k,4-5 yrs,Promoted this year,3-5 yrs
37,Mid-Career,No,0,Travel_Rarely,228,Sales,6,4,Medical,1,378,3,Male,98,3,2,Sales Executive,4,Married,6502,Low,22825,4,Y,No,14,3,2,80,1,7,Junior Level,5,4,5,4,0,1,35-44,$6k-$10k,4-5 yrs,Promoted this year,6-10 yrs
21,Young,No,0,Travel_Rarely,996,Research & Development,3,2,Medical,1,379,4,Male,100,2,1,Research Scientist,3,Single,3230,Low,10531,1,Y,No,17,3,1,80,0,3,Entry Level,4,4,3,2,1,0,Under 25,$3k-$6k,2-3 yrs,1-2 yrs since promotion,3-5 yrs
37,Mid-Career,No,0,Non-Travel,728,Research & Development,1,4,Medical,1,380,1,Female,80,3,3,Research Director,4,Divorced,13603,Medium,11677,2,Y,Yes,18,3,1,80,2,15,Mid Level,2,3,5,2,0,2,35-44,$10k-$15k,4-5 yrs,Promoted this year,11-20 yrs
35,Mid-Career,No,0,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,1,381,2,Female,71,4,3,Manager,2,Divorced,11996,Medium,19100,7,Y,No,18,3,2,80,1,10,Junior Level,6,2,7,7,6,2,35-44,$10k-$15k,6-10 yrs,5+ yrs since promotion,6-10 yrs
38,Mid-Career,No,0,Travel_Rarely,322,Sales,7,2,Medical,1,382,1,Female,44,4,2,Sales Executive,1,Divorced,5605,Low,19191,1,Y,Yes,24,4,3,80,1,8,Junior Level,3,3,8,0,7,7,35-44,$3k-$6k,6-10 yrs,5+ yrs since promotion,6-10 yrs
26,Young,No,0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,384,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,Low,26767,1,Y,No,20,4,1,80,1,6,Junior Level,6,1,6,5,1,4,25-34,$6k-$10k,6-10 yrs,1-2 yrs since promotion,6-10 yrs
50,Senior,No,0,Travel_Rarely,797,Research & Development,4,1,Life Sciences,1,385,1,Male,96,3,5,Research Director,2,Divorced,19144,High,15815,3,Y,No,14,3,1,80,2,28,Senior Level,4,2,10,4,1,6,45-54,$15k+,6-10 yrs,1-2 yrs since promotion,20+ yrs
53,Senior,No,0,Travel_Rarely,1070,Research & Development,3,4,Medical,1,386,3,Male,45,3,4,Research Director,3,Married,17584,High,21016,3,Y,Yes,16,3,4,80,3,21,Senior Level,5,2,5,3,1,3,45-54,$15k+,4-5 yrs,1-2 yrs since promotion,20+ yrs
42,Senior,No,0,Travel_Rarely,635,Sales,1,1,Life Sciences,1,387,2,Male,99,3,2,Sales Executive,3,Married,4907,Low,24532,1,Y,No,25,4,3,80,0,20,Mid Level,3,3,20,16,11,6,35-44,$3k-$6k,10+ yrs,5+ yrs since promotion,11-20 yrs
29,Young,No,0,Travel_Frequently,442,Sales,2,2,Life Sciences,1,388,2,Male,44,3,2,Sales Executive,4,Single,4554,Low,20260,1,Y,No,18,3,1,80,0,10,Junior Level,3,2,10,7,0,9,25-34,$3k-$6k,6-10 yrs,Promoted this year,6-10 yrs
55,Senior,No,0,Travel_Rarely,147,Research & Development,20,2,Technical Degree,1,389,2,Male,37,3,2,Laboratory Technician,4,Married,5415,Low,15972,3,Y,Yes,19,3,4,80,1,12,Mid Level,4,3,10,7,0,8,55+,$3k-$6k,6-10 yrs,Promoted this year,11-20 yrs
26,Young,No,0,Travel_Frequently,496,Research & Development,11,2,Medical,1,390,1,Male,60,3,2,Healthcare Representative,1,Married,4741,Low,22722,1,Y,Yes,13,3,3,80,1,5,Entry Level,3,3,5,3,3,3,25-34,$3k-$6k,4-5 yrs,3-5 yrs since promotion,3-5 yrs
37,Mid-Career,No,0,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,1,391,4,Female,42,3,1,Research Scientist,4,Single,2115,Low,15881,1,Y,No,12,3,2,80,0,17,Mid Level,3,3,17,12,5,7,35-44,< $3k,10+ yrs,3-5 yrs since promotion,11-20 yrs
44,Senior,Yes,1,Travel_Frequently,920,Research & Development,24,3,Life Sciences,1,392,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161,Low,19920,3,Y,Yes,22,4,4,80,1,19,Mid Level,0,1,1,0,0,0,35-44,$3k-$6k,0-1 yrs,Promoted this year,11-20 yrs
38,Mid-Career,No,0,Travel_Rarely,688,Research & Development,23,4,Life Sciences,1,393,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,Low,18899,9,Y,No,14,3,2,80,1,10,Junior Level,2,3,2,2,1,2,35-44,$3k-$6k,2-3 yrs,1-2 yrs since promotion,6-10 yrs
26,Young,Yes,1,Travel_Rarely,1449,Research & Development,16,4,Medical,1,394,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,Low,14180,2,Y,Yes,13,3,4,80,1,5,Entry Level,2,3,3,2,0,2,25-34,< $3k,2-3 yrs,Promoted this year,3-5 yrs
28,Young,No,0,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,1,395,4,Female,66,3,1,Research Scientist,4,Single,3310,Low,4488,1,Y,No,21,4,4,80,0,5,Entry Level,3,3,5,3,0,2,25-34,$3k-$6k,4-5 yrs,Promoted this year,3-5 yrs
49,Senior,No,0,Travel_Frequently,636,Research & Development,10,4,Life Sciences,1,396,3,Female,35,3,5,Research Director,1,Single,18665,High,25594,9,Y,Yes,11,3,4,80,0,22,Senior Level,4,3,3,2,1,2,45-54,$15k+,2-3 yrs,1-2 yrs since promotion,20+ yrs
36,Mid-Career,No,0,Travel_Rarely,506,Research & Development,3,3,Technical Degree,1,397,3,Male,30,3,2,Research Scientist,2,Single,4485,Low,26285,4,Y,No,12,3,4,80,0,10,Junior Level,2,3,8,0,7,7,35-44,$3k-$6k,6-10 yrs,5+ yrs since promotion,6-10 yrs
31,Mid-Career,No,0,Travel_Frequently,444,Sales,5,3,Marketing,1,399,4,Female,84,3,1,Sales Representative,2,Divorced,2789,Low,3909,1,Y,No,11,3,3,80,1,2,Entry Level,5,2,2,2,2,2,25-34,< $3k,2-3 yrs,1-2 yrs since promotion,0-2 yrs
26,Young,Yes,1,Travel_Rarely,950,Sales,4,4,Marketing,1,401,4,Male,48,2,2,Sales Executive,4,Single,5828,Low,8450,1,Y,Yes,12,3,2,80,0,8,Junior Level,0,3,8,7,7,4,25-34,$3k-$6k,6-10 yrs,5+ yrs since promotion,6-10 yrs
37,Mid-Career,No,0,Travel_Frequently,889,Research & Development,9,3,Medical,1,403,2,Male,53,3,1,Research Scientist,4,Married,2326,Low,11411,1,Y,Yes,12,3,3,80,3,4,Entry Level,3,2,4,2,1,2,35-44,< $3k,4-5 yrs,1-2 yrs since promotion,3-5 yrs
42,Senior,No,0,Travel_Frequently,555,Sales,26,3,Marketing,1,404,3,Female,77,3,4,Sales Executive,2,Married,13525,Medium,14864,5,Y,No,14,3,4,80,1,23,Senior Level,2,4,20,4,4,8,35-44,$10k-$15k,10+ yrs,3-5 yrs since promotion,20+ yrs
18,Young,Yes,1,Travel_Rarely,230,Research & Development,3,3,Life Sciences,1,405,3,Male,54,3,1,Laboratory Technician,3,Single,1420,Low,25233,1,Y,No,13,3,3,80,0,0,Entry Level,2,3,0,0,0,0,Under 25,< $3k,0-1 yrs,Promoted this year,0-2 yrs
35,Mid-Career,No,0,Travel_Rarely,1232,Sales,16,3,Marketing,1,406,3,Male,96,3,3,Sales Executive,2,Married,8020,Medium,5100,0,Y,No,15,3,3,80,2,12,Mid Level,3,2,11,9,6,9,35-44,$6k-$10k,10+ yrs,5+ yrs since promotion,11-20 yrs
36,Mid-Career,No,0,Travel_Frequently,566,Research & Development,18,4,Life Sciences,1,407,3,Male,81,4,1,Laboratory Technician,4,Married,3688,Low,7122,4,Y,No,18,3,4,80,2,4,Entry Level,2,3,1,0,0,0,35-44,$3k-$6k,0-1 yrs,Promoted this year,3-5 yrs
51,Senior,No,0,Travel_Rarely,1302,Research & Development,2,3,Medical,1,408,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,Low,16321,5,Y,No,18,3,4,80,1,13,Mid Level,3,3,4,1,1,2,45-54,$3k-$6k,4-5 yrs,1-2 yrs since promotion,11-20 yrs
41,Senior,No,0,Travel_Rarely,334,Sales,2,4,Life Sciences,1,410,4,Male,88,3,4,Manager,2,Single,16015,High,15896,1,Y,No,19,3,2,80,0,22,Senior Level,2,3,22,10,0,4,35-44,$15k+,10+ yrs,Promoted this year,20+ yrs
18,Young,No,0,Travel_Rarely,812,Sales,10,3,Medical,1,411,4,Female,69,2,1,Sales Representative,3,Single,1200,Low,9724,1,Y,No,12,3,1,80,0,0,Entry Level,2,3,0,0,0,0,Under 25,< $3k,0-1 yrs,Promoted this year,0-2 yrs
28,Young,No,0,Travel_Rarely,1476,Research & Development,16,2,Medical,1,412,2,Male,68,4,2,Healthcare Representative,1,Single,5661,Low,4824,0,Y,No,19,3,3,80,0,9,Junior Level,2,3,8,3,0,7,25-34,$3k-$6k,6-10 yrs,Promoted this year,6-10 yrs
31,Mid-Career,No,0,Travel_Rarely,218,Sales,7,3,Technical Degree,1,416,2,Male,100,4,2,Sales Executive,4,Married,6929,Low,12241,4,Y,No,11,3,2,80,1,10,Junior Level,3,2,8,7,7,7,25-34,$6k-$10k,6-10 yrs,5+ yrs since promotion,6-10 yrs
39,Mid-Career,No,0,Travel_Rarely,1132,Research & Development,1,3,Medical,1,417,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,Medium,10942,0,Y,No,17,3,1,80,3,19,Mid Level,5,2,18,10,3,7,35-44,$6k-$10k,10+ yrs,3-5 yrs since promotion,11-20 yrs
36,Mid-Career,No,0,Non-Travel,1105,Research & Development,24,4,Life Sciences,1,419,2,Female,47,3,2,Laboratory Technician,2,Married,5674,Low,6927,7,Y,No,15,3,3,80,1,11,Mid Level,3,3,9,8,0,8,35-44,$3k-$6k,6-10 yrs,Promoted this year,11-20 yrs
32,Mid-Career,No,0,Travel_Rarely,906,Sales,7,3,Life Sciences,1,420,4,Male,91,2,2,Sales Executive,3,Married,5484,Low,16985,1,Y,No,14,3,3,80,1,13,Mid Level,3,2,13,8,4,8,25-34,$3k-$6k,10+ yrs,3-5 yrs since promotion,11-20 yrs
38,Mid-Career,No,0,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,421,1,Female,81,2,3,Research Director,2,Married,12061,Medium,26707,3,Y,No,17,3,3,80,1,19,Mid Level,2,3,10,8,0,1,35-44,$10k-$15k,6-10 yrs,Promoted this year,11-20 yrs
58,Senior,No,0,Non-Travel,390,Research & Development,1,4,Life Sciences,1,422,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660,Low,17056,2,Y,Yes,13,3,4,80,1,12,Mid Level,2,3,5,3,1,2,55+,$3k-$6k,4-5 yrs,1-2 yrs since promotion,11-20 yrs
31,Mid-Career,No,0,Travel_Rarely,691,Research & Development,5,4,Technical Degree,1,423,3,Male,86,3,1,Research Scientist,4,Married,4821,Low,10077,0,Y,Yes,12,3,3,80,1,6,Junior Level,4,3,5,2,0,3,25-34,$3k-$6k,4-5 yrs,Promoted this year,6-10 yrs
31,Mid-Career,No,0,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,424,1,Male,62,2,2,Human Resources,1,Married,6410,Low,17822,3,Y,No,12,3,4,80,0,9,Junior Level,1,3,2,2,1,0,25-34,$6k-$10k,2-3 yrs,1-2 yrs since promotion,6-10 yrs
45,Senior,No,0,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,425,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,Low,20308,1,Y,No,18,3,1,80,1,24,Senior Level,2,3,24,9,9,11,45-54,$3k-$6k,10+ yrs,5+ yrs since promotion,20+ yrs
31,Mid-Career,No,0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,426,3,Male,32,3,1,Research Scientist,4,Divorced,2695,Low,7747,0,Y,Yes,18,3,2,80,1,3,Entry Level,2,1,2,2,2,2,25-34,< $3k,2-3 yrs,1-2 yrs since promotion,3-5 yrs
33,Mid-Career,No,0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,428,4,Female,74,3,3,Manager,2,Married,11878,Medium,23364,6,Y,No,11,3,2,80,2,12,Mid Level,2,3,10,6,8,8,25-34,$10k-$15k,6-10 yrs,5+ yrs since promotion,11-20 yrs
39,Mid-Career,No,0,Travel_Rarely,117,Research & Development,10,1,Medical,1,429,3,Male,99,3,4,Manager,1,Married,17068,High,5355,1,Y,Yes,14,3,4,80,0,21,Senior Level,3,3,21,9,11,10,35-44,$15k+,10+ yrs,5+ yrs since promotion,20+ yrs
43,Senior,No,0,Travel_Frequently,185,Research & Development,10,4,Life Sciences,1,430,3,Female,33,3,1,Laboratory Technician,4,Single,2455,Low,10675,0,Y,No,19,3,1,80,0,9,Junior Level,5,3,8,7,1,7,35-44,< $3k,6-10 yrs,1-2 yrs since promotion,6-10 yrs
49,Senior,No,0,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,1,431,3,Female,90,2,4,Healthcare Representative,3,Single,13964,High,17810,7,Y,Yes,12,3,4,80,0,25,Senior Level,2,3,7,1,0,7,45-54,$10k-$15k,6-10 yrs,Promoted this year,20+ yrs
52,Senior,Yes,1,Travel_Rarely,723,Research & Development,8,4,Medical,1,433,3,Male,85,2,2,Research Scientist,2,Married,4941,Low,17747,2,Y,No,15,3,1,80,0,11,Mid Level,3,2,8,2,7,7,45-54,$3k-$6k,6-10 yrs,5+ yrs since promotion,11-20 yrs
27,Young,No,0,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,1,434,3,Female,85,3,1,Research Scientist,2,Single,2478,Low,20938,1,Y,Yes,12,3,2,80,0,4,Entry Level,2,2,4,3,1,2,25-34,< $3k,4-5 yrs,1-2 yrs since promotion,3-5 yrs
32,Mid-Career,No,0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,436,3,Female,65,2,2,Sales Executive,2,Married,5228,Low,24624,1,Y,Yes,11,3,4,80,0,13,Mid Level,2,3,13,12,11,9,25-34,$3k-$6k,10+ yrs,5+ yrs since promotion,11-20 yrs
27,Young,No,0,Travel_Rarely,1377,Sales,2,3,Life Sciences,1,437,4,Male,74,3,2,Sales Executive,3,Single,4478,Low,5242,1,Y,Yes,11,3,1,80,0,5,Entry Level,3,3,5,4,0,4,25-34,$3k-$6k,4-5 yrs,Promoted this year,3-5 yrs
31,Mid-Career,No,0,Travel_Rarely,691,Sales,7,3,Marketing,1,438,4,Male,73,3,2,Sales Executive,4,Divorced,7547,Medium,7143,4,Y,No,12,3,4,80,3,13,Mid Level,3,3,7,7,1,7,25-34,$6k-$10k,6-10 yrs,1-2 yrs since promotion,11-20 yrs
32,Mid-Career,No,0,Travel_Rarely,1018,Research & Development,2,4,Medical,1,439,1,Female,74,4,2,Research Scientist,4,Single,5055,Low,10557,7,Y,No,16,3,3,80,0,10,Junior Level,0,2,7,7,0,7,25-34,$3k-$6k,6-10 yrs,Promoted this year,6-10 yrs
28,Young,Yes,1,Travel_Rarely,1157,Research & Development,2,4,Medical,1,440,1,Male,84,1,1,Research Scientist,4,Married,3464,Low,24737,5,Y,Yes,13,3,4,80,0,5,Entry Level,4,2,3,2,2,2,25-34,$3k-$6k,2-3 yrs,1-2 yrs since promotion,3-5 yrs
30,Mid-Career,No,0,Travel_Rarely,1275,Research & Development,28,2,Medical,1,441,4,Female,64,3,2,Research Scientist,4,Married,5775,Low,11934,1,Y,No,13,3,4,80,2,11,Mid Level,2,3,10,8,1,9,25-34,$3k-$6k,6-10 yrs,1-2 yrs since promotion,11-20 yrs
31,Mid-Career,No,0,Travel_Frequently,798,Research & Development,7,2,Life Sciences,1,442,3,Female,48,2,3,Manufacturing Director,3,Married,8943,Medium,14034,1,Y,No,24,4,1,80,1,10,Junior Level,2,3,10,9,8,9,25-34,$6k-$10k,6-10 yrs,5+ yrs since promotion,6-10 yrs
39,Mid-Career,No,0,Travel_Frequently,672,Research & Development,7,2,Medical,1,444,3,Male,54,2,5,Manager,4,Married,19272,High,21141,1,Y,No,15,3,1,80,1,21,Senior Level,2,3,21,9,13,3,35-44,$15k+,10+ yrs,5+ yrs since promotion,20+ yrs
39,Mid-Career,Yes,1,Travel_Rarely,1162,Sales,3,2,Medical,1,445,4,Female,41,3,2,Sales Executive,3,Married,5238,Low,17778,4,Y,Yes,18,3,1,80,0,12,Mid Level,3,2,1,0,0,0,35-44,$3k-$6k,0-1 yrs,Promoted this year,11-20 yrs
33,Mid-Career,No,0,Travel_Frequently,508,Sales,10,3,Marketing,1,446,2,Male,46,2,2,Sales Executive,4,Single,4682,Low,4317,3,Y,No,14,3,3,80,0,9,Junior Level,6,2,7,7,0,1,25-34,$3k-$6k,6-10 yrs,Promoted this year,6-10 yrs
47,Senior,No,0,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,1,447,4,Male,42,3,5,Research Director,3,Married,18300,High,16375,4,Y,No,11,3,2,80,1,21,Senior Level,2,3,3,2,1,1,45-54,$15k+,2-3 yrs,1-2 yrs since promotion,20+ yrs
43,Senior,No,0,Travel_Frequently,559,Research & Development,10,4,Life Sciences,1,448,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,Low,6227,1,Y,No,11,3,2,80,1,9,Junior Level,3,4,9,7,0,0,35-44,$3k-$6k,6-10 yrs,Promoted this year,6-10 yrs
27,Young,No,0,Non-Travel,210,Sales,1,1,Marketing,1,449,3,Male,73,3,2,Sales Executive,2,Married,6349,Low,22107,0,Y,Yes,13,3,4,80,1,6,Junior Level,0,3,5,4,1,4,25-34,$6k-$10k,4-5 yrs,1-2 yrs since promotion,6-10 yrs
54,Senior,No,0,Travel_Frequently,928,Research & Development,20,4,Life Sciences,1,450,4,Female,31,3,2,Research Scientist,3,Single,4869,Low,16885,3,Y,No,12,3,4,80,0,20,Mid Level,4,2,4,3,0,3,45-54,$3k-$6k,4-5 yrs,Promoted this year,11-20 yrs
43,Senior,No,0,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,1,451,3,Female,43,3,3,Healthcare Representative,1,Married,9985,Medium,9262,8,Y,No,16,3,1,80,1,10,Junior Level,1,2,1,0,0,0,35-44,$6k-$10k,0-1 yrs,Promoted this year,6-10 yrs
45,Senior,No,0,Travel_Rarely,549,Research & Development,8,4,Other,1,452,4,Male,75,3,2,Research Scientist,4,Married,3697,Low,9278,9,Y,No,14,3,1,80,2,12,Mid Level,3,3,10,9,9,8,45-54,$3k-$6k,6-10 yrs,5+ yrs since promotion,11-20 yrs
40,Senior,No,0,Travel_Rarely,1124,Sales,1,2,Medical,1,453,2,Male,57,1,2,Sales Executive,4,Married,7457,Medium,13273,2,Y,Yes,22,4,3,80,3,6,Junior Level,2,2,4,3,0,2,35-44,$6k-$10k,4-5 yrs,Promoted this year,6-10 yrs
29,Young,Yes,1,Travel_Rarely,318,Research & Development,8,4,Other,1,454,2,Male,77,1,1,Laboratory Technician,1,Married,2119,Low,4759,1,Y,Yes,11,3,4,80,0,7,Junior Level,4,2,7,7,0,7,25-34,< $3k,6-10 yrs,Promoted this year,6-10 yrs
29,Young,No,0,Travel_Rarely,738,Research & Development,9,5,Other,1,455,2,Male,30,2,1,Laboratory Technician,4,Single,3983,Low,7621,0,Y,No,17,3,3,80,0,4,Entry Level,2,3,3,2,2,2,25-34,$3k-$6k,2-3 yrs,1-2 yrs since promotion,3-5 yrs
30,Mid-Career,No,0,Travel_Rarely,570,Sales,5,3,Marketing,1,456,4,Female,30,2,2,Sales Executive,3,Divorced,6118,Low,5431,1,Y,No,13,3,3,80,3,10,Junior Level,2,3,10,9,1,2,25-34,$6k-$10k,6-10 yrs,1-2 yrs since promotion,6-10 yrs
27,Young,No,0,Travel_Rarely,1130,Sales,8,4,Marketing,1,458,2,Female,56,3,2,Sales Executive,2,Married,6214,Low,3415,1,Y,No,18,3,1,80,1,8,Junior Level,3,3,8,7,0,7,25-34,$6k-$10k,6-10 yrs,Promoted this year,6-10 yrs
37,Mid-Career,No,0,Travel_Rarely,1192,Research & Development,5,2,Medical,1,460,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347,Low,23177,7,Y,No,16,3,3,80,2,8,Junior Level,2,2,6,2,0,4,35-44,$6k-$10k,6-10 yrs,Promoted this year,6-10 yrs
38,Mid-Career,No,0,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,461,3,Male,92,2,3,Research Director,4,Divorced,11510,Medium,15682,0,Y,Yes,14,3,2,80,1,12,Mid Level,3,3,11,10,2,9,35-44,$10k-$15k,10+ yrs,1-2 yrs since promotion,11-20 yrs
31,Mid-Career,No,0,Travel_Rarely,1232,Research & Development,7,4,Medical,1,462,3,Female,39,3,3,Manufacturing Director,4,Single,7143,Low,25713,1,Y,Yes,14,3,3,80,0,11,Mid Level,2,2,11,9,4,10,25-34,$6k-$10k,10+ yrs,3-5 yrs since promotion,11-20 yrs
29,Young,No,0,Travel_Rarely,144,Sales,10,1,Marketing,1,463,4,Female,39,2,2,Sales Executive,2,Divorced,8268,Medium,11866,1,Y,Yes,14,3,1,80,2,7,Junior Level,2,3,7,7,1,7,25-34,$6k-$10k,6-10 yrs,1-2 yrs since promotion,6-10 yrs
35,Mid-Career,No,0,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,1,464,3,Male,62,3,3,Manufacturing Director,2,Single,8095,Medium,18264,0,Y,No,13,3,4,80,0,17,Mid Level,5,3,16,6,0,13,35-44,$6k-$10k,10+ yrs,Promoted this year,11-20 yrs
23,Young,No,0,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904,Low,16092,1,Y,No,12,3,3,80,2,4,Entry Level,2,2,4,2,0,2,Under 25,< $3k,4-5 yrs,Promoted this year,3-5 yrs
41,Senior,No,0,Travel_Rarely,483,Research & Development,6,3,Medical,1,466,4,Male,95,2,2,Manufacturing Director,2,Single,6032,Low,10110,6,Y,Yes,15,3,4,80,0,8,Junior Level,3,3,5,4,1,2,35-44,$6k-$10k,4-5 yrs,1-2 yrs since promotion,6-10 yrs
47,Senior,No,0,Travel_Frequently,1309,Sales,4,1,Medical,1,467,2,Male,99,3,2,Sales Representative,3,Single,2976,Low,25751,3,Y,No,19,3,1,80,0,5,Entry Level,3,3,0,0,0,0,45-54,< $3k,0-1 yrs,Promoted this year,3-5 yrs
42,Senior,No,0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,468,1,Female,44,3,4,Research Director,4,Single,15992,High,15901,2,Y,No,14,3,2,80,0,16,Mid Level,2,3,1,0,0,0,35-44,$15k+,0-1 yrs,Promoted this year,11-20 yrs
29,Young,No,0,Non-Travel,746,Sales,2,3,Life Sciences,1,469,4,Male,61,3,2,Sales Executive,3,Married,4649,Low,16928,1,Y,No,14,3,1,80,1,4,Entry Level,3,2,4,3,0,2,25-34,$3k-$6k,4-5 yrs,Promoted this year,3-5 yrs
